trial_pos,bin,value
46,0,0.41303131922304004
46,1,0.08101335169241024
46,2,0.2785286286239419
46,3,0.22742670046060784
47,0,0.41303131922304004
47,1,0.08101335169241024
47,2,0.2785286286239419
47,3,0.22742670046060784
48,0,0.377463989234872
48,1,0.11284596927101709
48,2,0.28488537741861725
48,3,0.22480466407549368
49,0,0.38663639741989625
49,1,0.1018870326126095
49,2,0.28928583836778965
49,3,0.22219073159970462
50,0,0.37961946483332726
50,1,0.08447639993666045
50,2,0.3056119941749439
50,3,0.2302921410550684
51,0,0.3889789927233744
51,1,0.09632610866010796
51,2,0.30360928819410377
51,3,0.2110856104224139
52,0,0.40882346015113336
52,1,0.1124216960931629
52,2,0.25662300977054125
52,3,0.22213183398516254
53,0,0.3921063992669515
53,1,0.10661638901104686
53,2,0.29578489434642385
53,3,0.20549231737557777
54,0,0.3643364842954595
54,1,0.11216212099464026
54,2,0.315504411465905
54,3,0.20799698324399524
55,0,0.44539253594646944
55,1,0.07875748582410377
55,2,0.2899361296425122
55,3,0.18591384858691462
56,0,0.40282623908038173
56,1,0.1214916750727864
56,2,0.293515451122946
56,3,0.1821666347238859
57,0,0.4154134274338815
57,1,0.07030224678365253
57,2,0.3214338473464539
57,3,0.19285047843601202
58,0,0.36248422383128603
58,1,0.12548713089213365
58,2,0.30432951799601043
58,3,0.20769912728056988
59,0,0.404325088890566
59,1,0.10165355495715309
59,2,0.29842122302520335
59,3,0.19560013312707755
60,0,0.3634343628264561
60,1,0.10212327535256341
60,2,0.3101156509279288
60,3,0.2243267108930517
61,0,0.3809194053059792
61,1,0.09301829493613904
61,2,0.3144929876052528
61,3,0.211569312152629
62,0,0.3809194053059792
62,1,0.09301829493613904
62,2,0.3144929876052528
62,3,0.211569312152629
63,0,0.3809194053059792
63,1,0.09301829493613904
63,2,0.3144929876052528
63,3,0.211569312152629
64,0,0.3809194053059792
64,1,0.09301829493613904
64,2,0.3144929876052528
64,3,0.211569312152629
65,0,0.3809194053059792
65,1,0.09301829493613904
65,2,0.3144929876052528
65,3,0.211569312152629
66,0,0.37554344148940805
66,1,0.0970152898003513
66,2,0.31573324244565926
66,3,0.21170802626458138
67,0,0.37554344148940805
67,1,0.0970152898003513
67,2,0.31573324244565926
67,3,0.21170802626458138
68,0,0.37554344148940805
68,1,0.0970152898003513
68,2,0.31573324244565926
68,3,0.21170802626458138
69,0,0.37554344148940805
69,1,0.0970152898003513
69,2,0.31573324244565926
69,3,0.21170802626458138
70,0,0.37554344148940805
70,1,0.0970152898003513
