age,cohort,model_prop_f,model_prop_m
12,1996.0,0.04225352112676056,0.003067484662576687
13,1996.0,0.08647798742138364,0.006153846153846154
14,1996.0,0.15639810426540285,0.015027322404371584
15,1996.0,0.2393026941362916,0.0
16,1996.0,0.3465818759936407,0.0
17,1996.0,0.5192307692307693,0.0
18,1996.0,0.5893719806763285,0.0
19,1996.0,0.6941747572815534,0.0
20,1996.0,0.7719869706840391,0.0
21,1996.0,0.8251633986928104,0.0
22,1996.0,0.8813838550247117,0.0
23,1996.0,0.9137645107794361,0.0
24,1996.0,0.9415692821368948,0.0
25,1996.0,0.9614093959731543,0.0
26,1996.0,0.9712837837837838,0.0
27,1996.0,0.9813559322033898,0.0
28,1996.0,0.9880546075085325,0.0
29,1996.0,0.9896907216494846,0.0
30,1996.0,0.9896013864818024,0.0
12,1997.0,0.04160246533127889,0.004531722054380665
13,1997.0,0.08372093023255814,0.006802721088435374
14,1997.0,0.1573208722741433,0.0
15,1997.0,0.23943661971830985,0.0
16,1997.0,0.38207547169811323,0.0
17,1997.0,0.5150078988941548,0.0
18,1997.0,0.6279809220985691,0.0
19,1997.0,0.6964856230031949,0.0
20,1997.0,0.7861736334405145,0.0
21,1997.0,0.8336025848142165,0.0
22,1997.0,0.8863636363636364,0.0
23,1997.0,0.9233278955954323,0.0
24,1997.0,0.9522240527182867,0.0
25,1997.0,0.9602649006622517,0.0
26,1997.0,0.9700499168053245,0.0
27,1997.0,0.9782244556113903,0.0
28,1997.0,0.984822934232715,0.0
29,1997.0,0.9881154499151104,0.0
30,1997.0,0.9931623931623932,0.0
12,1998.0,0.057926829268292686,0.0013568521031207597
13,1998.0,0.10566615620214395,0.0
14,1998.0,0.16923076923076924,0.0
15,1998.0,0.2654320987654321,0.0
16,1998.0,0.39285714285714285,0.0
17,1998.0,0.5397815912636506,0.0
18,1998.0,0.6275430359937402,0.0
19,1998.0,0.7181102362204724,0.0
20,1998.0,0.7895569620253164,0.0
21,1998.0,0.8519108280254777,0.0
22,1998.0,0.8990384615384616,0.0
23,1998.0,0.9274193548387096,0.0
24,1998.0,0.9382113821138212,0.0
25,1998.0,0.9592169657422512,0.0
26,1998.0,0.9720853858784894,0.0
27,1998.0,0.985172981878089,0.0
28,1998.0,0.9900166389351082,0.0
29,1998.0,0.9916387959866221,0.0
30,1998.0,0.9949066213921901,0.0
12,1999.0,0.036036036036036036,0.0
13,1999.0,0.09036144578313253,0.0
14,1999.0,0.16163141993957703,0.0
15,1999.0,0.228310502283105,0.0
16,1999.0,0.36850152905198774,0.0
17,1999.0,0.49615975422427033,0.0
18,1999.0,0.5925925925925926,0.0
19,1999.0,0.656832298136646,0.0
20,1999.0,0.7410296411856474,0.0
21,1999.0,0.8160377358490566,0.0
22,1999.0,0.8704581358609794,0.0
23,1999.0,0.9141494435612083,0.0
24,1999.0,0.9361022364217252,0.0
25,1999.0,0.9581993569131833,0.0
26,1999.0,0.9758064516129032,0.0
27,1999.0,0.9853896103896104,0.0
28,1999.0,0.9901960784313726,0.0
29,1999.0,0.9950576606260296,0.0
30,1999.0,0.9983443708609272,0.0
12,2000.0,0.032210834553440704,0.0
13,2000.0,0.10309278350515463,0.0
14,2000.0,0.16863905325443787,0.0
15,2000.0,0.2526002971768202,0.0
16,2000.0,0.3931240657698057,0.0
17,2000.0,0.5285285285285285,0.0
18,2000.0,0.6310240963855421,0.0
19,2000.0,0.7261724659606656,0.0
20,2000.0,0.7850609756097561,0.0
21,2000.0,0.8356374807987711,0.0
22,2000.0,0.8688271604938271,0.0
23,2000.0,0.8959627329192547,0.0
24,2000.0,0.9266770670826833,0.0
25,2000.0,0.9481946624803768,0.0
26,2000.0,0.9589905362776026,0.0
27,2000.0,0.9666666666666667,0.0
28,2000.0,0.9743589743589743,0.0
29,2000.0,0.9870967741935484,0.0
30,2000.0,0.9902755267423015,0.0
12,2001.0,0.05397727272727273,0.0
13,2001.0,0.10699001426533523,0.0
14,2001.0,0.17385057471264367,0.0
15,2001.0,0.26445086705202314,0.0
16,2001.0,0.3889695210449927,0.0
17,2001.0,0.5226277372262774,0.0
18,2001.0,0.631424375917768,0.0
19,2001.0,0.7157584683357879,0.0
20,2001.0,0.7744807121661721,0.0
21,2001.0,0.8328358208955224,0.0
22,2001.0,0.8798798798798799,0.0
23,2001.0,0.9064856711915535,0.0
24,2001.0,0.9378787878787879,0.0
25,2001.0,0.9648318042813455,0.0
26,2001.0,0.9769938650306749,0.0
27,2001.0,0.9829984544049459,0.0
28,2001.0,0.9906687402799378,0.0
29,2001.0,0.9921752738654147,0.0
30,2001.0,0.9937106918238994,0.0
12,2002.0,0.044630404463040445,0.0
13,2002.0,0.0938375350140056,0.0
14,2002.0,0.18361581920903955,0.0
15,2002.0,0.2507082152974504,0.0
16,2002.0,0.3655761024182077,0.0
17,2002.0,0.5021459227467812,0.0
18,2002.0,0.6135057471264368,0.0
19,2002.0,0.6979768786127167,0.0
20,2002.0,0.7782608695652173,0.0
21,2002.0,0.8260233918128655,0.0
22,2002.0,0.8795888399412628,0.0
23,2002.0,0.9144542772861357,0.0
24,2002.0,0.9406528189910979,0.0
25,2002.0,0.9611940298507463,0.0
26,2002.0,0.9744744744744744,0.0
27,2002.0,0.9803328290468987,0.0
28,2002.0,0.989345509893455,0.0
29,2002.0,0.995398773006135,0.0
30,2002.0,0.9969135802469136,0.0
